"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_NJ-131","CPL",0.313,7
"NLA12_MN-147","UMW",0.744,45
"NLA12_VA-111","CPL",0.561,114
"NLA12_VA-101","SAP",0.875,146
"NLA12_WA-138","WMT",0.279,12
"NLA12_VT-R01","NAP",0.308,12
"NLA12_UT-169","WMT",0.211,23
"NLA12_NJ-118","NAP",0.688,38
"NLA12_OK-117","SPL",3.28,490
"NLA12_MN-123","TPL",1.31,91
"NLA12_SD-126","TPL",3.55,316
"NLA12_TX-176","SPL",1.356,130
"NLA12_CA-180","XER",0.127,4.1
"NLA12_MT-143","NPL",1.314,29
"NLA12_ND-134","NPL",2.336,302
"NLA12_ND-107","NPL",3.125,99
"NLA12_MO-R01","SAP",0.195,8
"NLA12_WY-135","WMT",0.48,64
"NLA12_WY-131","XER",0.196,36
"NLA12_CT-104","NAP",0.825,48
"NLA12_RI-110","NAP",0.679,36
"NLA12_VA-121","CPL",0.803,96
"NLA12_VA-105","SAP",0.538,80
"NLA12_VT-R02","NAP",0.216,5
"NLA12_UT-210","WMT",0.283,51
"NLA12_OR-169","WMT",0.034,25
"NLA12_CO-115","WMT",0.244,14
"NLA12_MI-101","UMW",0.604,15
"NLA12_NH-102","NAP",0.388,20
"NLA12_OH-136","NAP",2.745,185
"NLA12_OK-302","SPL",0.85,24
"NLA12_SD-158","TPL",1.784,610
"NLA12_TX-170","CPL",1.223,84
"NLA12_TX-190","SPL",0.349,30
"NLA12_PA-105","NAP",0.25,11
"NLA12_PA-110","NAP",0.8,77
"NLA12_MN-101","UMW",0.524,22
"NLA12_IA-134","TPL",1.354,175
"NLA12_CA-105","XER",0.551,688
"NLA12_MO-115","TPL",0.674,50
"NLA12_MT-108","NPL",2.068,1344
"NLA12_NV-105","XER",0.389,246
"NLA12_NV-119","XER",0.51,108
"NLA12_NV-104","XER",0.573,125
"NLA12_RI-112","NAP",0.583,47
"NLA12_MN-116","UMW",1.026,30
